Id,Venue_Name,City,State,Country,Year,start,end,Title,Organizers,Degree
IBM Palisades_2006,IBM Palisades,Palisades,New York,United States,2006,2006-06-07,2006-06-09,"Program Meeting, James S. McDonnell Foundation, 21st Century Science Initiative 2006",Katy Börner,63
International Conference on Complex Systems_2006,International Conference on Complex Systems,Boston,Massachusetts,United States,2006,2006-06-25,2006-06-30,International Conference on Complex Systems,"Katy Börner, Keith V. Nesbitt",63
Science of Science Policy Workshop_2006,Science of Science Policy Workshop,Helsinki,,Finland,2006,2006-07-12,2006-07-12,Towards a Macroscope for Decision Support in Science & Technology Policy,"Katy Börner, Ann Carlson",63
National Cancer Institute_2006,National Cancer Institute,"Washington, DC",,United States,2006,2006-07-20,2006-07-20,"How Information Visualization Can Support NCI's Fight Against Cancer, Cyberinfrastructures in Service of Health, Informatics in Action talk series","Ketan Mane, Katy Börner",64
"New Horizons in Internet Site Development Workshop, Banbury Center, Cold Spring Harbor Laboratory_2006","New Horizons in Internet Site Development Workshop, Banbury Center, Cold Spring Harbor Laboratory",Cold Spring Harbor,New York,United States,2006,2006-10-23,2006-10-25,Mapping the Structure and Evolution of Science Locally and Globally,Katy Börner,63
"OCI, NSF_2006","OCI, NSF","Washington, DC",,United States,2006,2006-12-13,2006-12-13,User-Friendly Cyberinfrastructures and Their Utility for Scholarly Knowledge Management Talk,,
American Museum of Science and Energy_2007,American Museum of Science and Energy,Oak Ridge,Tennessee,United States,2007,2007-01-01,2007-01-01,American Museum of Science and Energy,Ken Mayes,1
National Academies_2007,National Academies,San Jose,California,United States,2007,2007-01-29,2007-01-30,Designing Cyberinfrastructure for Collaboration and Innovation,Bonnie DeVarco,4
SPIE Conference on Visualization and Data Analysis_2007,SPIE Conference on Visualization and Data Analysis,San Jose,California,United States,2007,2007-01-29,2007-01-30,SPIE Conference on Visualization and Data Analysis,,
Google_2007,Google,Mountain View,California,United States,2007,2007-01-31,2007-01-31,"Scholarly Data, Network Science, and (Google) Maps – Modeling, Mapping, and Exploring the Dynamic Landscape of Science Talk",,
National Institute of Informatics_2007,National Institute of Informatics,Tokyo,,Japan,2007,2007-02-06,2007-02-06,National Institute of Informatics,Katy Börner,63
National Institute of Science and Technology Policy (NISTEP)_2007,National Institute of Science and Technology Policy (NISTEP),Tokyo,,Japan,2007,2007-02-13,2007-02-13,Mapping Science: Analyzing and Visualizing the Dynamics of Scholarly Knowledge and Innovations Talk,Katy Börner,63
New York Hall of Science_2007,New York Hall of Science,Queens,New York,United States,2007,2007-02-22,2007-02-22,NYHS exhibit Tour for Google | NetSci Conference,Brad Paley,
233rd ACS National Meeting & Exposition_2007,233rd ACS National Meeting & Exposition,Chicago,Illinois,United States,2007,2007-03-25,2007-03-28,233rd ACS National Meeting & Exposition,Vanessa Johnson-Evans,
"NSF Town Hall Meeting, American Chemical Society_2007","NSF Town Hall Meeting, American Chemical Society",Chicago,Illinois,United States,2007,2007-03-26,2007-03-26,Mapping the Structure and Evolution of Chemistry,,
Association of American Geographers Annual Meeting_2007,Association of American Geographers Annual Meeting,San Francisco,California,United States,2007,2007-04-17,2007-04-21,Association of American Geographers Annual Meeting,"Dawn Wright, André Skupin",2
Monroe County Public Library_2007,Monroe County Public Library,Bloomington,Indiana,United States,2007,2007-05-01,2007-05-30,Monroe County Public Library | The Story of Science Maps Talk,"Katy Börner | Margaret Harter, Julie Smith",63
"Bloomington Science Cafe, Borders_2007","Bloomington Science Cafe, Borders",Bloomington,Indiana,United States,2007,2007-05-10,2007-05-10,"Scholarly Data, Network Science, and (Google) Maps-Modeling, Mapping, and Exploring the Dynamic Landscape of Science Talk",,
Arlington Hilton_2007,Arlington Hilton,"Washington, DC",,United States,2007,2007-05-14,2007-05-14,Complexity and Emergent Phenomena in Chemical Systems Workshop,,
National Science Foundation_2007,National Science Foundation,"Washington, DC",,United States,2007,2007-05-14,2007-05-14,"Mapping the Evolving Interface of Mainstream Chemistry and the Fields of Biochemistry, Biology, and Bioengineering | NSF Workshop on Visual Exploration",,
